,X,Sample,depth_m,reef_zone,month,response,bleaching_status,colony_area,A1,A1ee,C1,C3ae,C3.C115.C116,D1,D6,Richness,Individual
80,Sample80,301Of,14,forereef,October,recovered,healthy,278.823,0,0,0,909960.427,0,0,0,1,301
81,Sample81,302Af,14,forereef,August,recovered,recovering,121.177,0,0,0,909960.427,0,0,0,1,302
82,Sample82,303Of,14,forereef,October,recovered,healthy,204.788,0,0,0,909960.427,0,0,0,1,303
83,Sample83,304Af2,14,forereef,August,recovered,recovering,187.48,0,0,0,908439.3439,0,1521.083131,0,2,304
84,Sample84,304Of,14,forereef,October,recovered,healthy,252.797,0,0,0,909960.427,0,0,0,1,304
85,Sample85,305Of,14,forereef,October,recovered,healthy,238.44,0,0,0,909960.427,0,0,0,1,305
86,Sample86,306Af,14,forereef,August,recovered,recovering,169.176,0,0,0,909960.427,0,0,0,1,306
87,Sample87,307Af2,14,forereef,August,recovered,recovering,211.827,0,0,0,909960.427,0,0,0,1,307
88,Sample88,309Af2,14,forereef,August,recovered,recovering,NA,0,0,0,909960.427,0,0,0,1,309
89,Sample89,30BNMb2,1,backreef,May,unknown,bleached,78.543,0,0,909960.427,0,0,0,0,1,30B
90,Sample90,30NBOb2,1,backreef,October,unknown,healthy,1298.875,909960.427,0,0,0,0,0,0,1,30N
91,Sample91,310Of,14,forereef,October,recovered,healthy,461.085,0,0,0,909960.427,0,0,0,1,310
92,Sample92,311Af2,14,forereef,August,recovered,recovering,200.722,0,0,0,909960.427,0,0,0,1,311
93,Sample93,311Of,14,forereef,October,recovered,healthy,NA,0,0,0,909960.427,0,0,0,1,311
94,Sample94,312Af,14,forereef,August,recovered,recovering,297.615,0,0,0,909960.427,0,0,0,1,312
95,Sample95,312Of,14,forereef,October,recovered,healthy,301.117,0,0,0,909960.427,0,0,0,1,312
96,Sample96,313Of,14,forereef,October,recovered,healthy,120.359,0,0,0,909960.427,0,0,0,1,313
97,Sample97,314Af,14,forereef,August,recovered,recovering,409.64,7970.726902,0,0,901989.7001,0,0,0,2,314
98,Sample98,314Of,14,forereef,October,recovered,healthy,391.553,0,0,0,909960.427,0,0,0,1,314
99,Sample99,316Af,14,forereef,August,recovered,recovering,369.336,0,0,0,909960.427,0,0,0,1,316
100,Sample100,316Of2,14,forereef,October,recovered,healthy,153.496,0,0,0,909960.427,0,0,0,1,316
101,Sample101,317Af2,14,forereef,August,recovered,recovering,483.202,45821.11899,0,0,800107.2315,0,64032.07653,0,3,317
102,Sample102,317Of,14,forereef,October,recovered,healthy,432.864,0,0,0,909960.427,0,0,0,1,317
103,Sample103,318Af,14,forereef,August,recovered,recovering,158.202,0,0,0,909960.427,0,0,0,1,318
104,Sample104,318Of,14,forereef,October,recovered,healthy,139.517,0,0,0,909960.427,0,0,0,1,318
105,Sample105,319Af2,14,forereef,August,recovered,recovering,50.111,0,0,0,9641.318839,0,900319.1082,0,2,319
106,Sample106,319Of2,14,forereef,October,recovered,healthy,70.039,0,0,0,108365.0352,0,801595.3918,0,2,319
107,Sample107,31BNMb2,1,backreef,May,unknown,bleached,444.081,76016.02759,0,325267.1992,103717.896,0,404959.3042,0,4,31B
108,Sample108,320Of2,14,forereef,October,recovered,healthy,216.533,0,0,0,909960.427,0,0,0,1,320
109,Sample109,322Af,14,forereef,August,recovered,recovering,77.652,0,0,0,909960.427,0,0,0,1,322
110,Sample110,322Of2,14,forereef,October,recovered,healthy,NA,0,0,0,909960.427,0,0,0,1,322
111,Sample111,323Af,14,forereef,August,recovered,recovering,828.104,0,0,0,909960.427,0,0,0,1,323
112,Sample112,323Of2,14,forereef,October,recovered,healthy,NA,0,0,0,909960.427,0,0,0,1,323
113,Sample113,324Af2,14,forereef,August,recovered,recovering,184.881,0,0,0,11030.28281,0,898930.1442,0,2,324
114,Sample114,324Of,14,forereef,October,recovered,healthy,NA,0,0,0,909960.427,0,0,0,1,324
115,Sample115,33BNMb,1,backreef,May,unknown,healthy,14.749,909960.427,0,0,0,0,0,0,1,33B
116,Sample116,34BNMb2,1,backreef,May,unknown,bleached,155.111,140451.3052,0,140502.5648,0,0,550323.0703,78683.48668,4,34B
117,Sample117,35BNMb,1,backreef,May,unknown,bleached,191.739,909960.427,0,49862.89107,0,0,99261.16951,0,3,35B
118,Sample118,36BNMb,1,backreef,May,unknown,healthy,77.672,905876.2723,0,4084.154754,0,0,0,0,2,36B
119,Sample119,37BNMb,1,backreef,May,unknown,healthy,9.105,0,0,393546.2001,0,0,516414.2269,0,2,37B
120,Sample120,38BNMb,1,backreef,May,unknown,healthy,18.256,5204.188135,0,30310.33012,0,0,874445.9088,0,3,38B
121,Sample121,39BNMb,1,backreef,May,unknown,healthy,332.587,909960.427,0,4484.41027,0,0,0,0,2,39B
122,Sample122,3NBOb,1,backreef,October,unknown,healthy,24.334,5916.660212,0,5788.831133,0,0,898254.9357,0,3,3NB
123,Sample123,41BNMb,1,backreef,May,unknown,healthy,17.979,0,0,670818.4035,0,0,239142.0235,0,2,41B
124,Sample124,43BNMb2,1,backreef,May,unknown,healthy,23.041,4797.970028,0,290608.8238,0,0,614553.6332,0,3,43B
125,Sample125,44BNMb2,1,backreef,May,unknown,healthy,17.833,9237.461999,0,254879.3887,0,0,645843.5763,0,3,44B
126,Sample126,45BNMb,1,backreef,May,unknown,bleached,106.491,909960.427,0,37253.80559,43353.70726,8063.088412,0,216511.4523,5,45B
127,Sample127,46BNMb,1,backreef,May,unknown,bleached,161.391,909960.427,0,0,0,0,0,0,1,46B
128,Sample128,4NBOb,1,backreef,October,unknown,healthy,7.954,0,0,18917.65429,0,37139.6645,853903.1082,0,3,4NB
129,Sample129,50BNMb,1,backreef,May,unknown,bleached,73.807,119664.1352,0,0,662000.2425,0,128296.0494,0,3,50B
130,Sample130,5NBOb2,1,backreef,October,unknown,healthy,14.093,1828.619712,0,908131.8073,0,0,0,0,2,5NB
131,Sample131,6NBOb,1,backreef,October,unknown,healthy,20.338,895498.3615,0,14462.06557,0,0,0,0,2,6NB
132,Sample132,7NBOb,1,backreef,October,unknown,healthy,16.045,0,0,13499.61468,0,0,896460.8123,0,2,7NB
133,Sample133,8NBOb,1,backreef,October,unknown,healthy,14.496,0,0,0,200921.3587,0,709039.0683,0,2,8NB
134,Sample134,9NBOb2,1,backreef,October,unknown,healthy,16.108,10686.19595,0,899274.2311,0,0,0,0,2,9NB
